,eng,mar,eng_layer_1,mar_layer_1,eng_layer_8,mar_layer_8,eng_layer_16,mar_layer_16,eng_layer_24,mar_layer_24,eng_layer_30,mar_layer_30
0,i still read every day,मी अजूनही दररोज वाचते,[[-0.001709 -0.2612    0.3882   ...  0.346     0.2607   -0.05557 ]],[[-0.4346 -0.2551  0.651  ... -0.1973 -0.3804  0.4739]],[[ 0.4014  -0.08746  0.0484  ... -0.2089   0.05176  1.039  ]],[[-0.3367  0.2034  0.2568 ...  0.536  -0.4321  0.72  ]],[[ 0.6445  -0.3103   0.06046 ... -0.584   -0.547    2.203  ]],[[-0.01578 -0.02765 -0.4688  ...  0.4248  -0.9053   0.797  ]],[[ 0.255   0.5938  0.4421 ...  0.472  -1.992   3.705 ]],[[-0.7314 -0.7056 -0.9346 ... -0.4373 -1.529   1.38  ]],[[-0.4841  1.778  -0.68   ... -0.5127 -1.195   1.881 ]],[[-0.07214 -0.5244   1.956   ... -0.648    0.953   -0.2964 ]]
1,were proud of tom,आम्हाला टॉमचा अभिमान वाटतो,[[0.2751 0.4204 0.4768 ... 0.0381 0.3906 0.4695]],[[ 0.2346 -0.0379  0.427  ... -0.1595  0.1134  0.2109]],[[0.003967 0.10315  0.6387   ... 0.02124  0.5723   0.6885  ]],[[0.7925 0.9316 0.681  ... 0.096  0.7734 0.503 ]],[[-0.013  -1.331   0.4768 ... -0.1652  0.501   0.6978]],[[ 1.028   -0.2595   0.1733  ...  0.04034  0.4941   0.2935 ]],[[-1.334  -2.096   1.379  ...  1.005   0.3457  1.611 ]],[[-0.6465   -0.395     0.1606   ... -0.003021  0.8867    0.7446  ]],[[-0.863   0.1774  0.6914 ... -0.289  -0.488   0.386 ]],[[-0.1047  -0.07605  2.22    ... -0.6577   0.2314  -1.139  ]]
2,i dont know why i came,मी का आले मलाच माहीत नाही,[[-0.6323  -0.3105  -0.033   ...  0.4758  -0.04086  0.1603 ]],[[-0.1866   0.246    0.2179  ... -0.1882  -0.223   -0.05255]],[[-0.0889 -0.2206 -0.4414 ... -0.4475 -0.083   0.5146]],[[0.06033 0.721   0.02455 ... 0.3545  0.10925 0.08636]],[[ 0.2141 -0.2017 -0.4521 ... -0.6235  0.3599  1.018 ]],[[-0.347   0.2131 -0.1582 ...  0.0227  0.1394  0.2998]],[[-0.3281 -0.7256  0.4602 ... -1.044   0.9365  1.275 ]],[[-1.462  -0.3462 -1.742  ...  0.6304  0.5913  0.701 ]],[[ 0.0468  1.12    0.511  ... -1.192  -0.2715  0.1959]],[[-0.4778 -0.0107  0.3948 ...  0.198   0.3804 -0.2805]]
3,i know when your birthday is,तुमचा वाढदिवस कधी आहे हे मला ठाऊक आहे,[[ 0.0979 -0.1372  0.3523 ... -0.0957 -0.2396  0.5713]],[[ 0.08154  0.2617   0.0878  ... -0.193   -0.494    0.1974 ]],[[ 0.1666  -0.02844  0.3252  ... -0.1194   0.07294  0.617  ]],[[ 0.014   0.6753  0.355  ... -0.2478 -0.4194  0.8936]],[[ 0.1655  0.4175  1.052  ... -0.483  -0.6006  0.6167]],[[ 0.1311   0.3696  -0.01046 ...  0.2424  -0.03058  0.952  ]],[[ 0.4475  1.216   1.151  ... -0.6094 -0.4497  1.474 ]],[[-1.366   1.01   -1.05   ...  0.5586 -0.1444  1.465 ]],[[-0.5786  1.591   0.6953 ... -0.8994 -0.6865  1.109 ]],[[-0.6533   1.097    0.2754  ...  0.3186  -0.04605 -0.987  ]]
4,how long does it take,किती वेळ लागतो,[[-0.1885  -0.02014  0.282   ...  0.178    0.476   -0.3518 ]],[[ 0.645  -0.345   0.1981 ...  0.2998 -0.3276  0.796 ]],[[-0.4016  -0.1354  -0.3477  ... -0.3013   0.7437   0.09796]],[[ 0.791   0.7026 -0.9985 ...  0.8716 -0.523   1.671 ]],[[-1.008    -0.4885    0.003956 ...  0.1458    0.672     0.8125  ]],[[ 0.585   0.819  -1.355  ...  0.8584 -0.6865  2.18  ]],[[-1.253  -2.979  -0.5415 ...  1.045   0.613   1.633 ]],[[-1.244  1.039 -2.41  ...  1.267 -0.866  3.812]],[[-1.135  -1.1455 -1.556  ... -0.3484  0.4226  0.5244]],[[-1.165   0.744  -0.7744 ...  0.7485 -0.227   1.357 ]]
5,we understand,आपण समजतो,[[-0.673   0.617   0.7656 ...  0.475   0.7354  0.5635]],[[ 0.609   0.183  -0.2966 ...  0.1709 -0.1697 -0.287 ]],[[-0.943    0.736    0.05725 ... -0.2852   0.3962   1.586  ]],[[ 0.6123  0.866  -0.9    ...  0.1752 -0.2448  0.3127]],[[-0.5703  0.2905  0.512  ... -0.1975  0.498   1.783 ]],[[-0.004963  0.1884   -0.444    ... -0.1791   -0.355    -0.1058  ]],[[-0.1426  1.528  -0.4412 ...  1.121   0.9346  2.58  ]],[[-0.3623 -0.25   -0.658  ... -0.3743 -0.534   0.7188]],[[ 0.2231  0.4902  0.527  ... -1.378  -0.8887  1.652 ]],[[ 0.2673  0.1081  1.538  ... -0.36    1.04   -0.858 ]]
6,ill give you money,मी तुला पैसे देईन,[[-0.2413 -0.298   0.274  ...  0.1455 -0.0775  0.2065]],[[-0.02939 -0.2644   0.1572  ... -0.4824  -0.2659   0.3435 ]],[[-0.536   -0.656    0.1978  ... -0.468   -0.12463  1.166  ]],[[ 0.809    0.803   -0.04642 ... -0.05923 -0.5283   1.076  ]],[[-0.3318 -0.4197  0.138  ... -0.623  -0.3428  1.449 ]],[[ 0.7695  0.741   0.0365 ...  0.3374 -0.9546  1.322 ]],[[-1.815   -0.11456  0.4941  ...  0.255   -1.077    3.367  ]],[[ 1.338    1.357   -0.06256 ...  0.0735  -1.55     2.582  ]],[[-0.997  -0.3533 -1.068  ... -1.427  -1.479   2.318 ]],[[ 0.098   1.226   2.117  ...  0.2583 -0.543   0.99  ]]
7,get undressed,कपडे काढा,[[ 0.0841  -0.06113  0.3093  ... -0.659   -0.0791  -0.218  ]],[[-0.2109 -0.549   0.2156 ...  0.1935  0.4492  0.6665]],[[ 0.594  -0.0957  0.0841 ... -1.681   1.153   0.8916]],[[-0.3494  0.3604  0.2373 ... -0.2444 -0.1833  0.8286]],[[ 0.4932    0.007507 -0.4858   ... -1.353     1.193     1.093   ]],[[ 0.1602   0.2498  -0.2954  ...  0.2023  -0.01178  0.723  ]],[[ 0.701   0.3123 -1.042  ... -1.397   0.7114  1.58  ]],[[ 0.06042 -0.387   -1.044   ...  1.125   -0.7393   2.057  ]],[[-0.187   0.95   -0.711  ... -0.4473 -0.834   0.6943]],[[ 0.2343 -0.9575  1.738  ...  0.2458 -0.4917  1.974 ]]
8,why would tom kill mary,टॉम मेरीला का मारेल,[[-0.199   -0.1642   0.4348  ...  0.839    0.4893   0.03102]],[[-0.1578  0.1925  0.3308 ...  0.4517 -0.1881  0.3525]],[[-0.1788 -0.712  -0.2146 ...  0.5283  0.7715  0.1556]],[[ 0.2213   0.02715  0.2128  ... -0.697    0.2424   0.679  ]],[[ 0.3054 -0.7104 -0.1934 ... -0.1103  0.7715 -0.2374]],[[ 0.4473 -0.3093 -0.373  ...  0.1515 -0.3599  0.7715]],[[-1.769  -1.892   0.0678 ...  0.0879  1.617  -1.168 ]],[[ 0.641    0.518   -1.603   ... -0.7476  -0.096    0.02861]],[[-0.625   -0.8467   0.4219  ...  0.04263  0.451   -0.2607 ]],[[ 0.4138  0.549   0.8525 ... -1.003   0.921  -0.1497]]
9,dont leave the bicycle in the rain,सायकल पावसात सोडू नका,[[-0.1816   0.06082  0.08746 ... -0.2805   0.4194   0.12054]],[[-0.1454   0.04514  0.1824  ... -0.384    0.485   -0.33   ]],[[ 1.107  -0.3103 -0.3289 ... -0.2993  0.2262 -0.2274]],[[0.395   0.681   0.175   ... 0.10004 0.668   0.10986]],[[ 1.558   -0.883   -0.74    ...  0.09686  0.5728  -0.1104 ]],[[ 0.3481   0.4395  -0.2349  ...  0.1768  -0.00956 -0.2317 ]],[[ 2.379  -1.688  -1.077  ...  0.3938  1.587   0.3467]],[[-0.1295 -0.1416 -1.154  ...  0.6113 -0.1772  1.856 ]],[[ 0.72    0.0591 -1.701  ... -0.371   1.619  -0.0397]],[[0.1814  0.562   2.281   ... 2.215   0.11066 0.515  ]]
